source,target
jefe hidraulica,hydraulic technician
heladero,ice cream vendor
consultor tic,ict consultant
coordinador tic,ict coordinator
director tic,ict manager
ilustrador,illustrator
ilustrador dibujante,illustrator
asesor de imagen,image consultant
consultor imagen,image consultant
abogado extranjeria,immigration lawyer
administrativo importaciones,import clerk
gestor importaciones,import manager
consultor de mejora de procesos,improvement consultant
gestor renta variable,income manager
renta variable,income officer
propietaria dependiente,independent business owner
asesor financiero banca personal,independent financial adviser
encargado dependiente tienda,independent manager
instrumentista industrial,industrial
consultor seguridad industrial,industrial consultant
director industria,industrial director
director industrial,industrial director
oficial electricista industrial,industrial electrician
ingeniero industrial,industrial engineer
ingeniero industrial instalaciones,industrial engineer
ingeniero instalaciones industriales,industrial engineer
ingeniero procesos industriales,industrial engineer
ingeniero seguridad industrial,industrial engineer
barnizador,industrial painter
pintor industrial,industrial painter
administrador sistemas tecnico informatico,information systems officer
responsable tecnologicos,information technology
arquitecto calculista estructuras,infrastructure architect
ingeniero infraestructura,infrastructure engineer
encargado estructuras,infrastructure manager
jefe de infraestructura,infrastructure manager
inspector coordinador,inspection coordinator
ingeniero inspector,inspection engineer
jefe equipo inspeccion,inspection supervisor
inspeccion tecnico edificios,inspection technician
inspector tecnico calidad,inspection technician
inspector organismo,inspector
inspector tributos,inspector
inspector turismo,inspector
interventor sucursal,inspector
instalador electricista oficial,installation electrician
oficial instalador electricista,installation electrician
instalador mantenimiento,installation maintenance engineer
ingeniero proyectista instalaciones,installations engineer
jefe obras instalaciones,installations manager
responsable de instalaciones,installations manager
ayudante instalador,installer
instalador antenas,installer
instalador audiovisual,installer
instalador de telecomunicaciones,installer
instalador redes telecomunicaciones,installer
oficial instalador,installer
repartidor instalador,installer
vendedor instalador,installer
instructor tiro,instructor
